country,year,population,gdp,coal_prod_change_twh,coal_prod_per_capita,coal_production,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,gas_prod_change_twh,gas_prod_per_capita,gas_production,hydro_elec_per_capita,hydro_electricity,low_carbon_elec_per_capita,low_carbon_electricity,nuclear_elec_per_capita,nuclear_electricity,oil_prod_change_twh,oil_prod_per_capita,oil_production,other_renewable_electricity,other_renewables_elec_per_capita,primary_energy_consumption,continent
Argentina,1900,4685089.0,20465122481.31,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-23.471,-0.716,-0.001,-0.021,327.976,South America
Argentina,1901,4855502.0,21332699678.153,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-23.471,-0.716,-0.001,-0.021,327.976,South America
Argentina,1902,5036658.0,20873684092.366,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-23.471,-0.716,-0.001,-0.021,327.976,South America
Argentina,1903,5229108.0,24028433418.42,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-23.471,-0.716,-0.001,-0.021,327.976,South America
Argentina,1904,5428911.0,26727601780.316,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-23.471,-0.716,-0.001,-0.021,327.976,South America
Argentina,1905,5636349.0,30405840915.779,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-23.471,-0.716,-0.001,-0.021,327.976,South America
Argentina,1906,5851713.0,31986262520.09,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-23.471,-0.716,-0.001,-0.021,327.976,South America
Argentina,1907,6075305.0,32682544647.331,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-23.471,-0.716,-0.001,-0.021,327.976,South America
Argentina,1908,6307441.0,35984137416.312,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.012,-19.767,-0.693,-0.001,-0.021,327.976,South America
Argentina,1909,6532092.0,37849564746.06,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.001,-18.107,-0.681,-0.001,-0.021,327.976,South America
Argentina,1910,6748544.0,40687162756.222,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.011,-18.279,-0.681,-0.001,-0.021,327.976,South America
Argentina,1911,6956048.0,41427527326.574,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.023,-20.113,-0.693,-0.001,-0.021,327.976,South America
Argentina,1912,7153812.0,44923597832.823,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.047,-12.043,-0.635,-0.001,-0.021,327.976,South America
Argentina,1913,7341005.0,45377955084.485,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.129,6.757,-0.494,-0.001,-0.021,327.976,South America
Argentina,1914,7533097.0,40540387183.064,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.234,38.544,-0.249,-0.001,-0.021,327.976,South America
Argentina,1915,7730214.0,40782966076.414,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.385,88.332,0.148,-0.001,-0.021,327.976,South America
Argentina,1916,7932490.0,39567035980.006,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.596,162.041,0.755,-0.001,-0.021,327.976,South America
Argentina,1917,8140058.0,36262798346.704,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.584,230.484,1.351,-0.001,-0.021,327.976,South America
Argentina,1918,8354021.0,43150308855.757,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.211,250.543,1.572,-0.001,-0.021,327.976,South America
Argentina,1919,8579951.0,44769549911.114,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.047,239.244,1.538,-0.001,-0.021,327.976,South America
Argentina,1920,8818354.0,48128075132.75,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.526,293.065,2.076,-0.001,-0.021,327.976,South America
Argentina,1921,9069751.0,49384908076.439,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.725,365.417,2.811,-0.001,-0.021,327.976,South America
Argentina,1922,9334686.0,53392675505.617,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,1.588,525.788,4.411,-0.001,-0.021,327.976,South America
Argentina,1923,9613722.0,59430760895.969,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.666,580.306,5.088,-0.001,-0.021,327.976,South America
Argentina,1924,9901098.0,64130014322.065,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,2.09,775.108,7.191,-0.001,-0.021,327.976,South America
Argentina,1925,10197065.0,63846187062.612,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,2.441,992.452,9.643,-0.001,-0.021,327.976,South America
Argentina,1926,10501879.0,66963519579.508,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,3.013,1250.999,12.668,-0.001,-0.021,327.976,South America
Argentina,1927,10815805.0,71816446615.255,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,1.285,1333.869,13.965,-0.001,-0.021,327.976,South America
Argentina,1928,11139114.0,76361335394.056,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,-0.014,-12.497,-0.44,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.701,1358.431,14.677,-0.001,-0.021,327.976,South America
Argentina,1929,11443159.0,79899267150.985,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,2.883,240.694,2.457,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.503,1366.62,15.191,-0.001,-0.021,327.976,South America
Argentina,1930,11726853.0,76552950261.079,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,0.31,262.237,2.781,54.605,1.189,-1.048,-0.04,-0.254,-0.009,-0.677,1276.224,14.525,-0.001,-0.021,327.976,South America
Argentina,1931,11989069.0,71162708549.701,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,0.31,283.292,3.106,54.605,1.189,-1.048,-0.04,-0.254,-0.009,4.042,1585.828,18.578,-0.001,-0.021,327.976,South America
Argentina,1932,12228636.0,68785390971.017,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,0.31,304.03,3.43,54.605,1.189,-1.048,-0.04,-0.254,-0.009,2.593,1767.281,21.182,-0.001,-0.021,327.976,South America
Argentina,1933,12444339.0,72034197513.214,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,0.31,324.618,3.755,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.876,1807.568,22.07,-0.001,-0.021,327.976,South America
Argentina,1934,12663847.0,77858345052.614,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,0.31,344.395,4.08,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.538,1819.176,22.619,-0.001,-0.021,327.976,South America
Argentina,1935,12887227.0,81338435313.319,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,0.31,363.387,4.404,54.605,1.189,-1.048,-0.04,-0.254,-0.009,0.445,1822.58,23.074,-0.001,-0.021,327.976,South America
Argentina,1936,13114548.0,81905160222.06,-0.0,-0.178,-0.005,3.243,10.644,14890.61,1.452,0.31,381.612,4.728,54.605,1.189,-1.048,-0.04,-0.254,-0.009,2.032,1946.429,25.119,-0.001,-0.021,327.976,South America
